,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfDependents
188,0,0.113082483,71,0,118.0,0.0,4,0,0,0.0
189,0,0.043521266,61,0,1767.0,0.05,7,0,1,0.0
190,1,0.730531912,57,0,0.541078487,7083.0,11,0,1,3.0
191,0,0.04052183,57,0,0.264563577,5166.0,6,0,1,1.0
192,0,0.134462424,64,0,0.486930372,8645.0,15,0,5,1.0
193,0,0.579792146,59,0,0.331205292,13000.0,7,0,2,1.0
194,0,0.209389531,37,0,1.01032989,3000.0,8,0,1,0.0
195,0,0.363808773,44,0,0.214143709,3520.0,7,0,0,2.0
196,0,0.0,61,0,0.0,3800.0,2,0,0,0.0
197,0,0.971730637,25,2,0.536181943,1450.0,6,0,0,0.0
198,0,0.56512465,37,0,0.016636102,7633.0,2,0,0,0.0
199,1,0.441506499,57,0,156.0,156.45,3,3,0,0.0
200,0,0.030899228,59,0,1407.0,0.0,5,0,1,0.0
201,0,0.370555219,51,0,2761.0,0.22,12,0,2,2.0
202,0,0.121795128,69,0,7.787371134,775.0,8,0,0,0.0
203,0,0.004951131,79,0,0.007362967,3666.0,21,0,0,1.0
204,0,0.01802767,41,0,0.005891805,5600.0,9,0,0,0.0
205,0,0.029794041,31,1,0.267892843,2500.0,7,0,0,0.0
206,0,0.0,49,0,0.181710214,5893.0,12,0,1,1.0
207,0,0.040379192,64,0,0.241429971,6125.0,6,0,2,1.0
208,0,0.073022836,48,0,2896.0,0.02,7,0,2,0.0
209,0,0.069479084,78,0,0.42776204,4588.0,26,0,2,0.0
210,0,0.257827897,74,0,0.562011518,9723.0,14,0,3,1.0
211,0,0.0,63,1,1785.0,0.18,10,0,1,0.0
212,0,0.109578084,51,0,0.002962414,5400.0,3,0,0,1.0
213,0,0.401051631,29,0,0.34280503,10416.0,12,0,1,0.0
214,0,0.675476552,48,1,1.009648518,1450.0,12,0,1,1.0
215,1,0.900909323,46,0,0.406828251,7673.0,13,0,2,2.0
216,0,0.434497947,55,0,0.762584791,2800.0,5,0,1,0.0
217,0,0.182524763,55,0,0.426277372,2739.0,12,0,1,0.0
218,0,0.479660015,54,0,1.674530188,2500.0,9,0,2,2.0
219,0,0.212801107,54,0,1.146284572,3000.0,23,0,1,1.0
220,0,0.715479367,59,0,0.279558808,9700.0,8,0,1,0.0
221,0,0.108996943,44,0,0.506688588,13380.0,36,0,3,0.0
222,0,0.013599698,81,0,0.004443457,4500.0,3,0,0,0.0
223,0,0.135799213,54,0,0.291817524,9666.0,7,0,1,1.0
224,0,0.233763892,69,1,0.23073432,11016.0,11,0,1,0.0
225,0,0.995006242,43,0,0.010082493,3272.0,4,2,0,2.0
226,0,0.088714412,37,0,0.674777162,4150.0,6,0,2,0.0
227,0,0.022781404,62,0,0.184578744,6717.0,8,0,2,1.0
228,0,0.751071327,29,0,0.434333656,6197.0,11,1,4,0.0
229,0,0.220503975,46,1,0.542629374,7400.0,10,0,2,0.0
230,0,0.012285363,75,0,0.501666162,3300.0,13,0,2,0.0
231,0,0.133096329,38,0,0.055953155,4610.0,9,0,0,0.0
232,0,0.944079294,51,0,0.371457906,4869.0,13,0,0,1.0
233,0,0.180494016,51,0,0.308884556,20000.0,14,0,3,4.0
234,0,0.15437343,62,0,0.343269765,5400.0,9,0,1,0.0
235,0,0.388697167,36,0,0.564991334,7500.0,12,0,2,2.0
236,0,0.014566607,63,0,0.001840491,4889.0,3,0,0,0.0
237,0,0.513038127,61,0,1149.0,0.1,3,0,0,0.0
238,0,0.561215826,71,0,2.519637462,661.0,7,0,1,0.0
239,0,0.83690701,47,0,1194.0,0.16,3,0,0,2.0
240,0,0.562479174,25,0,0.260184954,4000.0,7,0,0,0.0
241,1,0.9999999,67,0,0.12143928,2000.0,1,3,0,0.0
242,0,0.32155948,36,0,0.524796447,2701.0,6,0,1,0.0
243,0,0.690683851,55,0,0.432552146,12416.0,7,0,2,2.0
244,0,0.27082039,66,1,0.342072409,800.0,6,0,0,0.0
245,0,0.485829512,38,1,0.457973648,2200.0,6,0,1,1.0
246,0,0.193261014,66,0,378.0,0.2,6,0,0,0.0
247,0,0.03316243,30,0,0.084749629,8766.0,10,0,0,0.0
248,0,0.67243793,49,0,0.191980802,10000.0,5,0,1,2.0
249,0,0.059155161,75,0,0.025338833,3393.0,6,0,0,0.0
250,0,0.926332756,43,0,1.016753453,4416.0,11,0,2,1.0
251,0,0.0,65,0,0.0,400.0,5,0,0,0.0
252,0,0.296155633,85,0,0.343675009,5833.0,12,0,1,0.0
253,0,0.025543281,70,0,0.006999125,8000.0,6,0,0,0.0
254,0,0.853219656,46,1,0.922239502,4500.0,27,0,1,0.0
255,0,0.477977938,32,0,0.122493548,5036.0,6,1,0,0.0
256,0,0.042183623,43,0,0.257597847,8916.0,7,0,2,3.0
257,0,0.15074739,29,0,0.74385123,5000.0,12,0,1,0.0
258,0,0.022919013,62,0,0.165210713,10416.0,5,0,1,0.0
259,0,0.12941136,35,0,0.615129699,8750.0,10,0,2,0.0
260,0,0.934838797,30,0,0.237920693,3000.0,3,0,0,3.0
261,0,0.0,50,0,0.462220058,10269.0,4,0,2,0.0
262,0,0.049432097,46,0,0.142476698,750.0,9,0,0,0.0
263,0,0.0,72,0,0.0,2755.0207738095237,2,0,0,0.0
264,0,0.015433205,52,0,1802.0,0.0,13,0,2,2.0
265,0,0.021895797,57,0,2090.0,0.02,8,0,1,0.0
266,0,0.859140859,28,0,1068.0,0.0,4,0,0,0.0
267,0,0.036237101,82,0,0.004065041,3197.0,3,0,0,0.0
268,0,0.507194045,53,0,2133.0,0.38,4,0,2,0.0
269,0,1.096037645,49,0,0.588448342,5245.0,9,0,1,2.0
270,0,0.057179099,75,0,1.174481168,1300.0,21,0,2,0.0
271,0,0.310980564,29,0,0.081781009,2200.0,6,0,0,2.0
272,1,0.903346055,43,0,0.433243177,4066.0,10,0,0,2.0
273,1,0.323280507,60,0,0.566333383,6700.0,9,0,2,1.0
274,1,0.24079894,56,1,8516.0,0.13,12,0,3,0.0
275,0,0.038968381,77,0,0.079040091,10500.0,19,0,1,0.0
276,0,0.43889507,51,0,0.132484155,16250.0,19,0,0,2.0
277,0,0.387164903,62,0,0.467677425,10750.0,14,0,2,0.0
278,0,0.041461449,87,0,0.021041557,1900.0,8,0,0,0.0
279,0,0.0,66,0,0.029616544,9622.0,2,0,0,0.0
280,0,0.040549529,60,2,0.327534493,5000.0,15,0,1,0.0
281,0,0.92358804,44,0,537.0,0.53,5,0,0,2.0
282,0,0.262486876,52,0,0.270618351,12500.0,6,0,1,2.0
283,0,0.0,62,0,0.0,7134.59,11,0,0,0.0
284,0,0.178915219,37,0,0.032338188,62000.0,7,0,1,0.0
285,0,0.0,55,0,0.470243246,10400.0,8,0,3,0.0
286,0,0.9999999,72,0,0.228724701,4100.0,4,0,1,0.0
287,0,0.02367544,28,1,0.028918243,2800.0,3,0,0,0.0
288,0,0.9999999,42,0,0.05919053,6250.0,1,0,0,2.0
289,0,0.022994193,70,0,0.036282858,2700.0,7,0,0,0.0
290,0,0.000640998,32,0,0.361579803,8000.0,10,0,2,2.0
291,0,0.02038484,72,0,0.011753183,4083.0,9,0,0,0.0
292,0,0.148241899,60,0,0.53768279,3555.0,10,0,1,0.0
293,0,0.060630798,54,0,0.611064387,10700.0,10,0,4,1.0
294,0,0.036474088,60,0,0.305498694,28333.0,12,0,2,1.0
295,0,0.034705202,54,0,0.438445194,8000.0,7,0,2,0.0
296,0,0.178019383,34,0,2704.0,0.12,14,0,1,3.0
297,0,0.08551077,75,0,830.0,0.11,8,0,1,0.0
298,0,0.232710609,48,2,0.092323894,8545.0,8,0,0,2.0
299,0,0.9999999,72,0,905.0,0.18,5,0,1,0.0
300,0,0.181085091,31,0,0.165111407,5250.0,4,0,0,1.0
301,0,0.990467031,65,1,0.641543563,3316.0,15,0,1,0.0
302,0,0.0,52,2,0.48296229,2200.0,5,0,0,0.0
303,0,0.0,60,0,0.5905,3999.0,6,0,1,1.0
304,0,0.31177757,40,0,0.212598425,2031.0,2,0,0,0.0
305,0,0.399948059,30,0,0.255091474,5793.0,8,0,1,1.0
306,0,0.0,72,0,0.0,36577.708666666666,7,0,0,0.0
307,0,0.183733721,38,0,0.0229977,10000.0,5,0,0,0.0
308,0,0.006099085,27,0,0.000560643,5350.0,3,0,0,1.0
309,0,0.0,64,0,0.152083931,24400.0,10,0,1,2.0
310,0,0.0,64,0,0.03310431,1600.0,2,0,0,1.0
311,0,0.036264249,44,0,0.580302063,4700.0,7,0,2,3.0
312,1,0.0,60,2,0.000384468,2600.0,4,0,0,0.0
313,0,0.233287591,47,0,0.380063966,1875.0,7,0,0,2.0
314,0,0.066193381,31,0,0.448606852,7500.0,5,0,1,1.0
315,0,0.463465981,47,0,0.451939741,7500.0,9,0,2,2.0
316,0,0.029487112,68,0,89.0,324.05,7,0,0,0.0
317,0,0.083925247,45,0,52.0,0.32,4,0,0,0.0
318,0,0.007499794,60,1,0.27520436,1100.0,7,0,1,0.0
319,0,0.015844935,51,0,0.153846154,6083.0,5,0,1,1.0
320,0,0.058102956,42,0,0.16720674,10800.0,5,0,1,4.0
321,0,0.629171354,36,0,254.0,1.0,3,0,0,2.0
322,0,0.806015573,41,1,0.214571302,6752.0,8,0,0,0.0
323,0,0.031854149,45,0,0.27368158,4000.0,7,0,1,0.0
324,0,0.675864827,67,0,0.26440678,2064.0,3,0,0,0.0
325,1,0.9999999,51,0,0.57152343,10541.0,6,1,2,3.0
326,0,0.0,67,0,0.429329641,8666.0,5,0,1,0.0
327,0,0.005272248,42,0,0.34805124,11006.0,8,0,3,1.0
328,0,0.0,68,0,2.329890037,3000.0,13,0,1,0.0
329,1,0.9999999,26,0,577.0,0.15,2,1,0,0.0
330,0,0.9999999,54,2,0.172915247,4400.0,4,0,1,0.0
331,0,0.059666997,55,0,0.172901224,5800.0,5,0,1,0.0
332,0,0.136425708,33,1,0.550898204,500.0,7,0,0,0.0
333,0,0.660922289,41,0,0.649722928,24000.0,11,0,2,1.0
334,0,0.107009214,44,0,0.150653344,7805.0,8,0,0,2.0
335,0,0.692242295,36,0,0.417606402,5497.0,9,0,2,2.0
336,0,0.126056383,53,0,59.0,0.39,3,0,0,0.0
337,0,0.02730303,67,0,879.0,0.18,14,0,1,0.0
338,0,0.161183882,67,0,0.009894867,4850.0,1,0,0,1.0
339,0,0.005865885,85,0,606.0,0.22,3,0,1,0.0
340,0,0.138165115,35,1,0.398325209,8000.0,7,0,2,0.0
341,0,0.008087997,64,0,0.312455004,4166.0,4,0,1,1.0
342,0,0.065654661,57,2,0.523650899,1500.0,15,0,1,0.0
343,0,0.023322843,71,0,0.009307972,2470.0,2,0,0,0.0
344,0,0.117873527,54,0,1.145553423,3125.0,10,0,2,0.0
345,0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0.0
346,0,0.190961808,33,0,0.673521851,3500.0,5,0,1,0.0
347,0,0.0,52,0,0.452050152,2950.0,4,0,1,0.0
348,0,0.052358079,64,0,1.156562292,1500.0,9,0,1,1.0
349,0,1.512199458,44,1,0.571177785,6265.0,11,0,1,2.0
350,0,0.007523571,69,0,0.24688057,4487.0,9,0,2,0.0
351,0,0.289410777,72,0,0.436123348,5674.0,13,0,2,0.0
352,1,0.657526045,32,3,0.19842338,5200.0,7,0,0,0.0
353,0,0.982756645,53,0,0.44047427,12397.0,9,0,3,1.0
354,0,0.139255972,55,0,0.03224194,4000.0,3,0,0,0.0
355,0,0.7402023,57,0,0.448728203,6250.0,8,0,2,0.0
356,0,0.0,51,0,14.0,357.46,10,0,0,0.0
357,0,0.266736501,43,0,816.0,0.57,6,0,1,1.0
358,0,0.130124658,63,0,0.007482905,7750.0,3,0,0,0.0
359,1,0.714535683,36,1,0.171757636,3993.0,10,0,0,1.0
360,0,0.252169697,61,0,0.608906392,3300.0,14,0,1,0.0
361,0,0.852150022,43,2,0.40396231,4138.0,9,0,1,2.0
362,0,0.055730709,43,0,0.78817734,2029.0,24,0,1,1.0
363,1,0.521113305,50,1,0.478695585,6500.0,11,1,2,3.0
364,0,0.02896057,54,0,0.164298495,9500.0,8,0,1,0.0
365,1,0.204504614,39,0,0.207267833,5200.0,9,0,0,0.0
366,0,0.270450642,60,1,0.484023999,14333.0,14,0,3,0.0
367,0,0.094905095,39,1,0.073902178,2800.0,3,0,0,0.0
368,0,0.130456961,66,1,1359.0,0.53,16,0,2,0.0
369,0,0.613947234,70,0,0.603657143,8749.0,10,0,2,0.0
370,0,0.0,69,0,0.182259677,7000.0,3,0,1,0.0
371,1,0.209383813,34,0,0.228838036,4500.0,6,0,0,0.0
372,0,0.198611231,60,0,0.483939326,8965.0,21,0,3,2.0
373,0,0.19011341,33,0,0.054490918,6000.0,10,0,0,2.0
374,0,0.00371779,51,2,1614.0,0.14,7,0,1,0.0
375,1,0.9999999,59,0,218.0,16.11,3,3,0,0.0
376,0,0.9999999,60,0,0.0,5000.0,0,1,0,0.0
377,0,1.008835155,22,0,260.0,0.22,7,0,0,0.0
378,0,0.015547218,69,0,0.188335189,7183.0,11,0,2,0.0
379,0,0.114118118,54,0,0.656862745,1121.0,3,0,0,1.0
380,0,0.355669745,28,0,0.149988001,4166.0,4,0,0,0.0
381,0,0.69290582,54,0,2776.0,0.01,8,0,1,0.0
382,0,0.010757602,80,0,8.0,1.0,14,0,0,0.0
383,0,0.039447005,74,0,462.0,0.05,4,0,0,0.0
384,0,0.046772308,41,0,0.531617096,4000.0,7,0,2,2.0
385,0,0.198209951,53,0,0.181678123,8437.0,24,1,0,1.0
386,0,0.000439548,31,0,1126.0,0.12,5,0,1,0.0
387,0,0.007236683,74,0,9.0,795.16,5,0,0,0.0
388,0,0.325827716,39,0,0.02709971,4833.0,6,0,0,10.0
389,0,0.068045461,42,0,3.700499168,600.0,11,0,2,0.0
390,0,0.480269255,41,0,0.133700178,6723.0,5,0,0,3.0
391,0,0.026176884,60,0,0.296100557,7000.0,11,0,1,0.0
392,0,0.019918819,65,0,0.24416818,7158.0,11,0,2,0.0
393,0,0.077122137,59,0,2176.0,0.27,5,0,2,4.0
394,0,0.044857623,61,0,0.105444728,6666.0,23,0,0,1.0
395,0,0.003838586,81,0,0.074975008,3000.0,9,0,1,0.0
396,0,0.122504684,40,0,2885.0,0.06,15,0,2,3.0
397,0,0.74321636,74,0,0.40191238,16000.0,9,0,2,0.0
398,0,0.204603747,64,0,0.310665839,11278.0,5,0,1,0.0
399,0,0.0,81,0,0.0,1800.0,6,0,0,0.0
